Year,month,day,hour,S,A,L1,L2
2019,6,22,2,-0.272,1.211,0.007,0
2019,6,22,15,,,,
2019,6,23,0,0.572,0.171,0.011,0
2019,6,23,2,0.633,0.255,0.009,0
2019,6,23,22,-0.447,-1.375,0.106,0
2019,6,24,0,0.144,0.063,0.016,0.005
2019,6,24,1,0.328,0.183,0.014,0.019
2019,6,24,22,0.717,-1.002,0.014,0.03
2019,6,24,23,0.407,-0.021,0.015,0.006
2019,6,25,1,0.539,0.05,0.015,0
2019,6,25,3,0.757,0.285,0.023,0.046
2019,6,25,4,0.641,0.13,0.007,0.019
2019,6,25,13,,2,,
2019,6,25,14,,,,
2019,6,25,16,,,,
2019,6,25,18,0.209,-0.476,0.009,0
2019,6,25,20,0.542,0.047,0.177,0.074
2019,6,25,21,0.75,-0.209,0.054,0.139
2019,6,25,23,0.17,-0.062,0.008,0.037
2019,6,26,1,0.442,0.017,0.011,0.027
2019,6,26,2,1.006,0.27,0.035,0.171
2019,6,26,4,0.882,0.055,0.006,0.036
2019,6,26,12,,-2,,
2019,6,26,14,,-2,,
2019,6,26,16,-0.547,-0.386,0.087,0.188
2019,6,26,18,0.784,0.058,0.038,0.069
2019,6,26,19,0.891,-0.103,0.08,0.069
2019,6,26,21,1.082,0.162,0.038,0.043
2019,6,26,23,1.032,-0.043,0.026,0.052
2019,6,27,0,0.829,-0.015,0.031,0.019
2019,6,27,2,0.748,-0.12,0.014,0.046
2019,6,27,4,1.176,-0.023,0.016,0.107
2019,6,27,5,,-2,,
2019,6,27,12,,,,
2019,6,27,14,,-2,,
2019,6,27,16,1.238,0.099,0.057,0.243
2019,6,27,17,1.605,0.376,0.057,0.197
2019,6,27,19,1.001,0.403,0.073,0.181
2019,6,27,21,1.495,0.216,0.084,0.062
2019,6,27,22,0.759,0.492,0.031,0.267
2019,6,28,0,1.105,-0.056,0.04,0.003
2019,6,28,2,1.101,-0.127,0.019,0.002
2019,6,28,3,1.072,-0.332,0.012,0.037
2019,6,28,5,1.183,0.217,0.068,0.177
2019,6,28,7,,2,,
2019,6,28,8,,,,
2019,6,28,10,,-2,,
2019,6,28,12,0.333,-0.493,0.018,0
2019,6,28,14,0.446,-0.521,0.042,0.151
2019,6,28,15,0.909,0.218,0.085,0.014
2019,6,28,17,0.905,0.785,0.076,0.13
2019,6,28,19,1.358,0.652,0.027,0.286
2019,6,28,20,1.435,0.554,0.005,0.24
2019,6,28,22,1.331,0.23,0.064,0.224
2019,6,29,0,1.563,0.4,0.003,0.002
2019,6,29,1,1.212,-0.129,0.033,0.003
2019,6,29,3,1.016,-0.283,0.014,0.008
2019,6,29,5,0.483,-0.133,0.014,0.021
2019,6,29,6,,2,,
2019,6,29,8,1.031,0.926,0.11,0.023
2019,6,29,10,-0.151,-1.122,0.793,0.094
2019,6,29,12,0.405,0.125,0.033,0.091
2019,6,29,13,0.516,0.077,0.019,0.065
2019,6,29,15,0.904,0.52,0.033,0.009
2019,6,29,17,1.253,0.743,0.028,0.006
2019,6,29,18,1.526,0.616,0.033,0.043
2019,6,29,20,1.551,0.598,0.012,0.281
2019,6,29,22,1.642,0.229,0.103,0.55
2019,6,29,23,1.084,0.45,0.01,0.137
2019,6,30,1,1.245,0.026,0.024,0.004
2019,6,30,3,0.93,-0.411,0.024,0.001
2019,6,30,4,0.545,-0.449,0.029,0
2019,6,30,6,0.874,0.465,0.019,0.005
2019,6,30,8,,2,,
2019,6,30,10,0.801,1.399,0.11,0.158
2019,6,30,11,0.331,0.829,0.139,0.034
2019,6,30,13,0.49,0.269,0.162,0.035
2019,6,30,15,1.113,1.153,0.196,0.267
2019,6,30,16,0.542,0.879,0.083,0.189
2019,6,30,18,1.18,0.414,0.024,0.109
2019,6,30,20,1.332,0.499,0.063,0.489
2019,6,30,21,1.459,0.283,0.033,0.048
2019,6,30,23,1.036,0.101,0.022,0.003
2019,7,1,1,1.071,-0.046,0.024,0.001
2019,7,1,2,1.121,-0.322,0.046,0.001
2019,7,1,4,1.063,-0.196,0.032,0.012
2019,7,1,6,1.306,-0.023,0.02,0.106
2019,7,1,8,,,,
2019,7,1,9,,,,
2019,7,1,11,,2,,
2019,7,1,13,,2,,
2019,7,1,14,1.082,0.507,0.016,0.04
2019,7,1,16,0.97,0.108,0.054,0.165
2019,7,1,18,1.266,0.267,0.055,0.136
2019,7,1,19,0.989,0.235,0.031,0.013
2019,7,1,21,0.989,0.084,0.016,0.036
2019,7,1,23,1.021,0.044,0.018,0.029
2019,7,2,0,1.295,-0.18,0.063,0.013
2019,7,2,2,1.158,-0.318,0.065,0.034
2019,7,2,4,0.851,0.093,0.061,0.027
2019,7,2,6,1.28,-0.457,0.043,0.06
2019,7,2,7,1.188,-0.004,0.069,0
2019,7,2,9,,,,
2019,7,2,11,0.962,1.255,0.05,0.027
2019,7,2,12,1.361,1.616,0.052,0.02
2019,7,2,14,0.985,0.05,0.024,0.027
2019,7,2,16,0.783,0.046,0.056,0.181
2019,7,2,17,0.971,0.02,0.031,0.064
2019,7,2,19,1.061,-0.021,0.048,0.012
2019,7,2,21,0.976,0.019,0.043,0.017
2019,7,2,22,1.111,0.125,0.034,0.015
2019,7,3,0,1.327,-0.278,0.076,0.036
2019,7,3,2,1.394,-0.227,0.096,0.002
2019,7,3,3,1.122,0.39,0.11,0.143
2019,7,3,5,1.336,0.137,0.437,0.282
2019,7,3,7,0.224,-1.205,0.56,0.011
2019,7,3,9,-0.506,-0.895,0.05,0
2019,7,3,10,1.591,1.504,0.027,0.005
2019,7,3,12,1.656,0.425,0.064,0.251
2019,7,3,14,1.013,-0.164,0.035,0.205
2019,7,3,15,0.892,0.049,0.027,0.081
2019,7,3,17,0.91,-0.018,0.019,0.07
2019,7,3,19,0.812,-0.042,0.054,0.013
2019,7,3,20,0.874,-0.016,0.057,0.005
2019,7,3,22,1.506,-0.066,0.047,0.009
2019,7,4,0,1.392,-0.369,0.076,0.025
2019,7,4,1,1.571,-0.296,0.097,0.16
2019,7,4,3,1.028,0.731,0.039,0.079
2019,7,4,5,0.669,0.527,0.023,0.034
2019,7,4,7,0.958,0.502,0.009,0.023
2019,7,4,8,1.016,0.893,0.007,0.033
2019,7,4,10,1.285,0.384,0.054,0.021
2019,7,4,12,1.297,0.018,0.075,0.239
2019,7,4,13,1.291,0.135,0.061,0.158
2019,7,4,15,1.55,0.228,0.015,0.037
2019,7,4,17,1.076,-0.097,0.023,0.374
2019,7,4,18,1.134,-0.104,0.057,0.054
2019,7,4,20,1.366,0.002,0.054,0.35
2019,7,4,22,1.619,-0.19,0.035,0.046
2019,7,4,23,1.487,-0.459,0.071,0.062
