Year,month,day,hour,S,A,L1,L2
2019,6,22,2,-0.258,1.222,0.007,0
2019,6,22,15,,,,
2019,6,23,0,0.38,0.171,0.01,0
2019,6,23,2,0.433,0.268,0.009,0
2019,6,23,22,,-2,,
2019,6,24,0,-0.229,0.064,0.018,0.005
2019,6,24,1,-0.005,0.199,0.015,0.019
2019,6,24,22,0.286,-1.353,0.027,0.043
2019,6,24,23,0.012,-0.044,0.018,0.005
2019,6,25,1,0.157,0.065,0.016,0.003
2019,6,25,3,-0.22,0.315,0.028,0.066
2019,6,25,4,0.5,0.362,0.009,0.019
2019,6,25,13,,,,
2019,6,25,14,,2,,
2019,6,25,16,,,,
2019,6,25,18,,-1.998,0.363,
2019,6,25,20,-0.292,-0.169,0.248,0.258
2019,6,25,21,0.41,-0.319,0.08,0.137
2019,6,25,23,-0.163,-0.067,0.007,0.038
2019,6,26,1,0.13,0.029,0.012,0.023
2019,6,26,2,0.318,0.282,0.035,0.171
2019,6,26,4,0.469,0.048,0.012,0.03
2019,6,26,12,,-1.992,0.071,
2019,6,26,14,,-1.995,0.058,
2019,6,26,16,-0.619,-0.416,0.116,0.295
2019,6,26,18,0.596,0.092,0.045,0.071
2019,6,26,19,0.766,-0.118,0.087,0.085
2019,6,26,21,0.634,0.078,0.041,0.057
2019,6,26,23,0.666,-0.035,0.025,0.049
2019,6,27,0,0.599,0,0.033,0.021
2019,6,27,2,0.636,-0.106,0.015,0.066
2019,6,27,4,1.095,-0.116,0.011,0.121
2019,6,27,5,,-1.979,0.235,
2019,6,27,12,,2,,
2019,6,27,14,,-1.996,0.201,
2019,6,27,16,0.843,0.161,0.049,0.229
2019,6,27,17,1.396,0.27,0.058,0.235
2019,6,27,19,0.85,0.358,0.066,0.171
2019,6,27,21,1.369,0.088,0.086,0.062
2019,6,27,22,0.514,0.483,0.034,0.251
2019,6,28,0,0.898,-0.037,0.04,0.007
2019,6,28,2,0.837,-0.106,0.019,0.002
2019,6,28,3,0.882,-0.267,0.014,0.038
2019,6,28,5,0.608,-0.145,0.084,0.273
2019,6,28,7,,2,,
2019,6,28,8,,,,
2019,6,28,10,,-2,,
2019,6,28,12,0.123,-0.429,0.016,0
2019,6,28,14,0.234,-0.426,0.043,0.151
2019,6,28,15,0.63,0.191,0.074,0.011
2019,6,28,17,0.536,0.702,0.065,0.109
2019,6,28,19,1.079,0.653,0.028,0.221
2019,6,28,20,1.14,0.513,0.009,0.206
2019,6,28,22,1.207,0.203,0.072,0.222
2019,6,29,0,1.545,0.406,0.001,0.007
