Year,month,day,hour,S,A,L1,L2
2019,6,22,2,-0.166,1.176,0.012,0
2019,6,22,15,,,,
2019,6,23,0,0.365,0.122,0.017,0
2019,6,23,2,0.394,0.166,0.017,0
2019,6,23,22,-0.453,-0.996,0.107,0
2019,6,24,0,0.207,-0.027,0.041,0.005
2019,6,24,1,0.452,0.14,0.038,0.017
2019,6,24,22,0.856,-1.252,0.046,0.09
2019,6,24,23,0.662,-0.348,0.029,0.01
2019,6,25,1,0.95,-0.095,0.049,0
2019,6,25,3,0.79,0.716,0.009,0
2019,6,25,4,0.683,0.709,0.007,0.019
2019,6,25,13,,,,
2019,6,25,14,,,,
2019,6,25,16,,,,
2019,6,25,18,0.388,0.33,0.008,0
2019,6,25,20,0.297,0.557,0.203,0.122
2019,6,25,21,0.802,0.079,0.089,0.174
2019,6,25,23,0.195,-0.453,0.014,0.147
2019,6,26,1,0.62,-0.249,0.022,0.108
2019,6,26,2,1.227,0.713,0.028,0.165
2019,6,26,4,0.688,0.587,0.004,0.045
2019,6,26,12,0.106,-0.426,0.059,0
2019,6,26,14,-0.594,-1.107,0.041,0
2019,6,26,16,-0.108,-0.058,0.038,0.066
2019,6,26,18,0.898,0.299,0.048,0.058
2019,6,26,19,1.082,0.267,0.102,0.079
2019,6,26,21,0.996,0.344,0.048,0.124
2019,6,26,23,1.096,-0.23,0.048,0.041
2019,6,27,0,0.988,-0.352,0.046,0.106
2019,6,27,2,1.109,-0.396,0.037,0.089
2019,6,27,4,1.255,0.46,0.014,0.104
2019,6,27,5,,-2,,
2019,6,27,12,,,,
2019,6,27,14,-0.259,-1.1,0.049,0
2019,6,27,16,1.028,0.456,0.035,0.195
2019,6,27,17,1.433,0.517,0.041,0.191
2019,6,27,19,1.139,0.463,0.042,0.153
2019,6,27,21,1.541,0.334,0.089,0.062
2019,6,27,22,1.311,0.501,0.011,0.266
2019,6,28,0,1.325,-0.304,0.074,0.003
2019,6,28,2,1.275,-0.48,0.042,0.002
2019,6,28,3,1.191,-0.833,0.024,0.03
2019,6,28,5,1.3,0.849,0.078,0.192
2019,6,28,7,,2,,
2019,6,28,8,,,,
2019,6,28,10,,-2,,
2019,6,28,12,0.432,-0.124,0.019,0
2019,6,28,14,0.493,-0.133,0.043,0.151
2019,6,28,15,0.639,0.463,0.064,0.011
2019,6,28,17,1.077,0.871,0.06,0.097
2019,6,28,19,1.468,0.717,0.018,0.278
2019,6,28,20,1.438,0.626,0.036,0.208
2019,6,28,22,1.364,0.336,0.055,0.217
2019,6,29,0,1.736,0.504,0.02,0.015
2019,6,29,1,1.344,-0.522,0.071,0.002
2019,6,29,3,0.97,-0.895,0.019,0.012
2019,6,29,5,1.37,-0.216,0.063,0.135
2019,6,29,6,,2,,
2019,6,29,8,1.72,1.8,0.177,0.029
2019,6,29,10,1.03,0.443,0.762,0.105
2019,6,29,12,0.926,0.969,0.107,0.127
2019,6,29,13,0.602,0.855,0.09,0.234
2019,6,29,15,1.145,0.799,0.011,0.017
2019,6,29,17,1.153,0.997,0.034,0.058
2019,6,29,18,1.585,0.822,0.049,0.192
2019,6,29,20,1.635,0.741,0.025,0.274
2019,6,29,22,1.634,0.34,0.12,0.549
2019,6,29,23,1.447,0.42,0.028,0.117
2019,6,30,1,1.441,-0.346,0.058,0.002
2019,6,30,3,1.1,-0.9,0.049,0.003
2019,6,30,4,0.917,-0.97,0.103,0.067
2019,6,30,6,1.167,0.712,0.013,0.093
2019,6,30,8,,2,,
2019,6,30,10,1.441,1.852,0.106,0.157
2019,6,30,11,1.157,1.725,0.128,0.115
2019,6,30,13,1.275,1.494,0.151,0.031
2019,6,30,15,1.214,1.498,0.229,0.236
2019,6,30,16,0.908,1.167,0.154,0.314
2019,6,30,18,1.179,0.636,0.016,0.083
2019,6,30,20,1.277,0.554,0.064,0.141
2019,6,30,21,1.608,0.227,0.042,0.027
2019,6,30,23,1.323,-0.257,0.047,0.016
2019,7,1,1,1.368,-0.452,0.046,0.001
2019,7,1,2,1.323,-0.721,0.079,0.001
2019,7,1,4,0.841,-0.823,0.047,0.274
2019,7,1,6,1.362,-0.184,0.018,0.046
2019,7,1,8,,2,,
2019,7,1,9,,2,,
2019,7,1,11,,2,,
2019,7,1,13,,2,,
2019,7,1,14,0.973,0.982,0.104,0.305
2019,7,1,16,1.197,-0.255,0.034,0.082
2019,7,1,18,1.506,0.092,0.043,0.065
2019,7,1,19,1.288,-0.065,0.043,0.043
2019,7,1,21,1.204,-0.302,0.02,0.109
2019,7,1,23,1.211,-0.383,0.03,0.069
2019,7,2,0,1.453,-0.532,0.079,0.013
2019,7,2,2,1.354,-0.66,0.094,0.03
2019,7,2,4,0.706,-0.452,0.09,0.136
2019,7,2,6,0.771,-1.222,0.038,0.157
2019,7,2,7,0.84,-0.579,0.105,0
2019,7,2,9,,,,
2019,7,2,11,1.235,1.793,0.299,0.622
2019,7,2,12,1.364,1.608,0.053,0.017
2019,7,2,14,0.754,-0.386,0.046,0.007
2019,7,2,16,0.959,-0.419,0.042,0.124
2019,7,2,17,1.14,-0.409,0.03,0.001
2019,7,2,19,1.158,-0.488,0.075,0.017
2019,7,2,21,1.081,-0.444,0.068,0.06
2019,7,2,22,1.24,-0.293,0.052,0.054
2019,7,3,0,1.47,-0.606,0.085,0.052
2019,7,3,2,1.546,-0.544,0.114,0.003
2019,7,3,3,1.153,0.016,0.152,0.139
2019,7,3,5,1.471,-0.268,0.43,0.291
2019,7,3,7,0.244,-1.438,0.56,0.011
2019,7,3,9,0.07,-0.39,0.047,0
2019,7,3,10,1.565,1.329,0.031,0.005
2019,7,3,12,1.441,-0.018,0.06,0.2
2019,7,3,14,1.103,-0.633,0.033,0.187
2019,7,3,15,0.988,-0.362,0.016,0.028
