Year,Month,Day,NAME SO2 mass (Tg of SO2),SO2 deposition  (Tg of SO2)
2019,6,22,1.211,0.002
2019,6,23,1.608,0.082
2019,6,24,1.542,0.058
2019,6,25,1.451,0.02
2019,6,26,1.373,0.013
2019,6,27,1.303,0.022
2019,6,28,1.308,0.021
2019,6,29,1.218,0.018
2019,6,30,1.119,0.018
2019,7,1,1.036,0.015
2019,7,2,0.95,0.012
2019,7,3,0.934,0.013
2019,7,4,0.91,0.015
2019,7,5,0.849,0.014
2019,7,6,0.824,0.013
2019,7,7,0.795,0.014
2019,7,8,0.744,0.012
2019,7,9,0.694,0.01
2019,7,10,0.654,0.009
2019,7,11,0.622,0.009
2019,7,12,0.573,0.009
2019,7,13,0.521,0.009
2019,7,14,0.468,0.008
2019,7,15,0.383,0.007
