Year,Month,Day,NAME SO2 mass (Tg of SO2),SO2 deposition  (Tg of SO2)
2019,6,22,1.509,0.004
2019,6,23,2.067,0.207
2019,6,24,1.883,0.144
2019,6,25,1.673,0.045
2019,6,26,1.538,0.028
2019,6,27,1.438,0.05
2019,6,28,1.369,0.053
2019,6,29,1.255,0.041
2019,6,30,1.15,0.036
2019,7,1,1.041,0.03
2019,7,2,0.951,0.023
2019,7,3,0.891,0.024
2019,7,4,0.838,0.026
2019,7,5,0.768,0.022
2019,7,6,0.726,0.02
2019,7,7,0.683,0.018
2019,7,8,0.626,0.015
2019,7,9,0.58,0.012
2019,7,10,0.531,0.01
2019,7,11,0.5,0.01
2019,7,12,0.444,0.01
2019,7,13,0.4,0.009
2019,7,14,0.364,0.008
2019,7,15,0.295,0.006
