Year,Month,Day,SO4 mass (Tg),SO4 deposition (Tg)
2019,6,22,0.001,0
2019,6,23,0.034,0.011
2019,6,24,0.046,0.038
2019,6,25,0.046,0.017
2019,6,26,0.058,0.014
2019,6,27,0.06,0.01
2019,6,28,0.089,0.016
2019,6,29,0.12,0.017
2019,6,30,0.14,0.019
2019,7,1,0.168,0.018
2019,7,2,0.171,0.018
2019,7,3,0.228,0.023
2019,7,4,0.267,0.029
2019,7,5,0.304,0.031
2019,7,6,0.346,0.031
2019,7,7,0.39,0.033
2019,7,8,0.408,0.031
2019,7,9,0.43,0.029
2019,7,10,0.461,0.027
2019,7,11,0.493,0.03
2019,7,12,0.504,0.034
2019,7,13,0.512,0.033
2019,7,14,0.516,0.033
2019,7,15,0.465,0.03
