Year,Month,Day,SO4 mass (Tg),SO4 deposition (Tg)
2019,6,22,0.002,0
2019,6,23,0.05,0.016
2019,6,24,0.064,0.054
2019,6,25,0.064,0.025
2019,6,26,0.079,0.023
2019,6,27,0.09,0.018
2019,6,28,0.122,0.034
2019,6,29,0.158,0.038
2019,6,30,0.197,0.039
2019,7,1,0.2,0.037
2019,7,2,0.225,0.036
2019,7,3,0.251,0.044
2019,7,4,0.297,0.054
2019,7,5,0.322,0.056
2019,7,6,0.365,0.054
2019,7,7,0.397,0.052
2019,7,8,0.41,0.047
2019,7,9,0.418,0.043
2019,7,10,0.442,0.04
2019,7,11,0.463,0.043
2019,7,12,0.464,0.045
2019,7,13,0.457,0.042
2019,7,14,0.458,0.04
2019,7,15,0.409,0.034
