Year,Month,Day,Hour,TROP (Tg),NAME (Tg),sigma TROP (Tg)
2019,6,22,2,0.294,1.197,0.078
2019,6,22,15,0,0,
2019,6,23,0,1.293,1.534,0.333
2019,6,23,2,1.15,1.486,0.308
2019,6,23,22,0.013,0.002,0.004
2019,6,24,0,1.41,1.502,0.36
2019,6,24,1,1.121,1.347,0.299
2019,6,24,22,0.126,0.042,0.035
2019,6,24,23,1.237,1.211,0.322
2019,6,25,1,1.341,1.41,0.353
2019,6,25,3,0.203,0.271,0.056
2019,6,25,4,0.034,0.039,0.011
2019,6,25,13,0,0,
2019,6,25,14,0,0,
2019,6,25,16,0,0,
2019,6,25,18,0.001,0.001,0.001
2019,6,25,20,0.039,0.041,0.013
2019,6,25,21,0.164,0.133,0.048
2019,6,25,23,1.003,0.944,0.266
2019,6,26,1,1.246,1.268,0.325
2019,6,26,2,0.216,0.283,0.06
2019,6,26,4,0.122,0.128,0.035
2019,6,26,12,0.001,0,0
2019,6,26,14,0.002,0,0.001
2019,6,26,16,0.006,0.004,0.003
2019,6,26,18,0.046,0.049,0.016
2019,6,26,19,0.104,0.094,0.034
2019,6,26,21,0.158,0.186,0.047
2019,6,26,23,0.634,0.607,0.18
2019,6,27,0,1.154,1.136,0.304
2019,6,27,2,0.976,0.865,0.266
2019,6,27,4,0.091,0.089,0.028
2019,6,27,5,0,0,0
2019,6,27,12,0,0,
2019,6,27,14,0.002,0,0.001
2019,6,27,16,0.01,0.011,0.004
2019,6,27,17,0.031,0.046,0.011
2019,6,27,19,0.071,0.107,0.023
2019,6,27,21,0.134,0.167,0.041
2019,6,27,22,0.23,0.381,0.068
2019,6,28,0,0.96,0.907,0.266
2019,6,28,2,1.152,1.015,0.306
2019,6,28,3,0.586,0.419,0.165
2019,6,28,5,0.006,0.008,0.002
2019,6,28,7,0,0,
2019,6,28,8,0,0,
2019,6,28,10,0.003,0,0.001
2019,6,28,12,0.005,0.003,0.002
2019,6,28,14,0.006,0.003,0.002
2019,6,28,15,0.01,0.013,0.004
2019,6,28,17,0.019,0.043,0.006
2019,6,28,19,0.068,0.134,0.022
2019,6,28,20,0.1,0.177,0.031
2019,6,28,22,0.228,0.287,0.067
2019,6,29,0,0.252,0.378,0.074
2019,6,29,1,1.067,0.937,0.295
2019,6,29,3,0.893,0.672,0.242
2019,6,29,5,0.052,0.045,0.016
2019,6,29,6,0,0.001,
2019,6,29,8,0,0.001,0
2019,6,29,10,0.003,0.001,0.001
2019,6,29,12,0.004,0.004,0.001
2019,6,29,13,0.004,0.005,0.002
2019,6,29,15,0.009,0.016,0.003
2019,6,29,17,0.02,0.045,0.007
2019,6,29,18,0.06,0.114,0.02
2019,6,29,20,0.095,0.176,0.031
2019,6,29,22,0.194,0.244,0.06
2019,6,29,23,0.237,0.374,0.07
2019,6,30,1,0.758,0.779,0.207
2019,6,30,3,0.798,0.526,0.217
2019,6,30,4,0.123,0.078,0.035
2019,6,30,6,0.009,0.014,0.003
2019,6,30,8,0,0.001,
2019,6,30,10,0,0.001,0
2019,6,30,11,0.001,0.001,0
2019,6,30,13,0.001,0.001,0
2019,6,30,15,0.003,0.012,0.001
2019,6,30,16,0.011,0.029,0.004
2019,6,30,18,0.059,0.09,0.02
2019,6,30,20,0.101,0.168,0.033
2019,6,30,21,0.222,0.296,0.068
2019,6,30,23,0.498,0.551,0.137
2019,7,1,1,0.713,0.681,0.195
2019,7,1,2,0.546,0.395,0.148
2019,7,1,4,0.117,0.096,0.036
2019,7,1,6,0.018,0.017,0.006
2019,7,1,8,0,0,
2019,7,1,9,0,0,
2019,7,1,11,0,0.001,
2019,7,1,13,0,0.002,
2019,7,1,14,0.004,0.006,0.001
2019,7,1,16,0.122,0.136,0.04
2019,7,1,18,0.148,0.194,0.047
2019,7,1,19,0.261,0.33,0.076
2019,7,1,21,0.451,0.49,0.125
2019,7,1,23,0.577,0.602,0.159
2019,7,2,0,0.59,0.493,0.163
2019,7,2,2,0.463,0.336,0.126
2019,7,2,4,0.08,0.088,0.025
2019,7,2,6,0.019,0.012,0.006
2019,7,2,7,0.003,0.003,0.001
2019,7,2,9,0,0,
2019,7,2,11,0,0,0
2019,7,2,12,0,0.004,0
2019,7,2,14,0.042,0.044,0.013
2019,7,2,16,0.172,0.18,0.053
2019,7,2,17,0.318,0.325,0.096
2019,7,2,19,0.502,0.492,0.14
2019,7,2,21,0.537,0.547,0.146
2019,7,2,22,0.448,0.508,0.128
2019,7,3,0,0.533,0.403,0.144
