Year,Month,Day,Hour,TROP (Tg),NAME (Tg),sigma TROP (Tg)
2019,6,22,2,0.294,1.219,0.078
2019,6,22,15,0,0,
2019,6,23,0,1.293,1.535,0.333
2019,6,23,2,1.15,1.505,0.308
2019,6,23,22,0.013,0,0.004
2019,6,24,0,1.41,1.503,0.36
2019,6,24,1,1.121,1.369,0.299
2019,6,24,22,0.126,0.024,0.035
2019,6,24,23,1.237,1.184,0.322
2019,6,25,1,1.341,1.431,0.353
2019,6,25,3,0.203,0.279,0.056
2019,6,25,4,0.034,0.049,0.011
2019,6,25,13,0,0,
2019,6,25,14,0,0,
2019,6,25,16,0,0,
2019,6,25,18,0.001,0,0.001
2019,6,25,20,0.039,0.033,0.013
2019,6,25,21,0.164,0.119,0.048
2019,6,25,23,1.003,0.939,0.266
2019,6,26,1,1.246,1.283,0.325
2019,6,26,2,0.216,0.286,0.06
2019,6,26,4,0.122,0.128,0.035
2019,6,26,12,0.001,0,0
2019,6,26,14,0.002,0,0.001
2019,6,26,16,0.006,0.004,0.003
2019,6,26,18,0.046,0.051,0.016
2019,6,26,19,0.104,0.092,0.034
2019,6,26,21,0.158,0.171,0.047
2019,6,26,23,0.634,0.613,0.18
2019,6,27,0,1.154,1.154,0.304
2019,6,27,2,0.976,0.878,0.266
2019,6,27,4,0.091,0.081,0.028
2019,6,27,5,0,0,0
2019,6,27,12,0,0,
2019,6,27,14,0.002,0,0.001
2019,6,27,16,0.01,0.012,0.004
2019,6,27,17,0.031,0.041,0.011
2019,6,27,19,0.071,0.102,0.023
2019,6,27,21,0.134,0.146,0.041
2019,6,27,22,0.23,0.377,0.068
2019,6,28,0,0.96,0.925,0.266
2019,6,28,2,1.152,1.035,0.306
2019,6,28,3,0.586,0.447,0.165
2019,6,28,5,0.006,0.005,0.002
2019,6,28,7,0,0,
2019,6,28,8,0,0,
2019,6,28,10,0.003,0,0.001
2019,6,28,12,0.005,0.003,0.002
2019,6,28,14,0.006,0.004,0.002
2019,6,28,15,0.01,0.012,0.004
2019,6,28,17,0.019,0.039,0.006
2019,6,28,19,0.068,0.134,0.022
2019,6,28,20,0.1,0.17,0.031
2019,6,28,22,0.228,0.279,0.067
2019,6,29,0,0.252,0.38,0.074
2019,6,29,1,1.067,0.965,0.295
2019,6,29,3,0.893,0.698,0.242
2019,6,29,5,0.052,0.042,0.016
2019,6,29,6,0,0.001,
2019,6,29,8,0,0.001,0
2019,6,29,10,0.003,0.001,0.001
2019,6,29,12,0.004,0.005,0.001
2019,6,29,13,0.004,0.006,0.002
2019,6,29,15,0.009,0.017,0.003
2019,6,29,17,0.02,0.047,0.007
2019,6,29,18,0.06,0.117,0.02
2019,6,29,20,0.095,0.171,0.031
2019,6,29,22,0.194,0.232,0.06
2019,6,29,23,0.237,0.366,0.07
2019,6,30,1,0.758,0.796,0.207
2019,6,30,3,0.798,0.566,0.217
2019,6,30,4,0.123,0.075,0.035
2019,6,30,6,0.009,0.013,0.003
2019,6,30,8,0,0.002,
2019,6,30,10,0,0.003,0
2019,6,30,11,0.001,0.003,0
2019,6,30,13,0.001,0.003,0
2019,6,30,15,0.003,0.014,0.001
2019,6,30,16,0.011,0.031,0.004
2019,6,30,18,0.059,0.091,0.02
2019,6,30,20,0.101,0.163,0.033
2019,6,30,21,0.222,0.276,0.068
2019,6,30,23,0.498,0.55,0.137
2019,7,1,1,0.713,0.708,0.195
2019,7,1,2,0.546,0.411,0.148
2019,7,1,4,0.117,0.091,0.036
2019,7,1,6,0.018,0.015,0.006
2019,7,1,8,0,0,
2019,7,1,9,0,0,
2019,7,1,11,0,0.001,
2019,7,1,13,0,0.004,
2019,7,1,14,0.004,0.006,0.001
2019,7,1,16,0.122,0.137,0.04
2019,7,1,18,0.148,0.192,0.047
2019,7,1,19,0.261,0.328,0.076
2019,7,1,21,0.451,0.49,0.125
2019,7,1,23,0.577,0.611,0.159
2019,7,2,0,0.59,0.512,0.163
2019,7,2,2,0.463,0.338,0.126
2019,7,2,4,0.08,0.083,0.025
2019,7,2,6,0.019,0.01,0.006
2019,7,2,7,0.003,0.003,0.001
2019,7,2,9,0,0,
2019,7,2,11,0,0,0
2019,7,2,12,0,0.003,0
2019,7,2,14,0.042,0.044,0.013
2019,7,2,16,0.172,0.183,0.053
2019,7,2,17,0.318,0.334,0.096
2019,7,2,19,0.502,0.509,0.14
2019,7,2,21,0.537,0.561,0.146
2019,7,2,22,0.448,0.516,0.128
2019,7,3,0,0.533,0.416,0.144
2019,7,3,2,0.381,0.313,0.107
2019,7,3,3,0.076,0.108,0.024
2019,7,3,5,0.003,0.003,0.001
2019,7,3,7,0.002,0,0.001
2019,7,3,9,0.001,0,0
2019,7,3,10,0.001,0.005,0
2019,7,3,12,0.006,0.007,0.002
2019,7,3,14,0.054,0.045,0.018
2019,7,3,15,0.109,0.117,0.034
2019,7,3,17,0.222,0.225,0.067
2019,7,3,19,0.433,0.429,0.122
2019,7,3,20,0.564,0.571,0.156
2019,7,3,22,0.462,0.447,0.132
2019,7,4,0,0.478,0.343,0.131
2019,7,4,1,0.368,0.276,0.107
2019,7,4,3,0.061,0.124,0.019
2019,7,4,5,0.011,0.016,0.004
2019,7,4,7,0.003,0.005,0.001
2019,7,4,8,0.002,0.004,0.001
2019,7,4,10,0.011,0.016,0.003
2019,7,4,12,0.021,0.02,0.007
2019,7,4,13,0.05,0.055,0.017
2019,7,4,15,0.09,0.115,0.028
2019,7,4,17,0.289,0.277,0.086
2019,7,4,18,0.386,0.369,0.109
2019,7,4,20,0.456,0.478,0.128
2019,7,4,22,0.479,0.409,0.137
2019,7,4,23,0.476,0.307,0.135
2019,7,5,1,0.321,0.242,0.093
2019,7,5,3,0.055,0.142,0.018
2019,7,5,5,0.021,0.045,0.007
2019,7,5,6,0.011,0.019,0.004
2019,7,5,8,0.001,0.006,0
2019,7,5,10,0.001,0.01,0
2019,7,5,11,0.017,0.022,0.005
2019,7,5,13,0.057,0.07,0.019
2019,7,5,15,0.22,0.196,0.065
2019,7,5,16,0.398,0.308,0.117
2019,7,5,18,0.439,0.332,0.129
2019,7,5,20,0.468,0.374,0.135
2019,7,5,21,0.482,0.36,0.137
2019,7,5,21,0.482,0.36,0.137
2019,7,5,23,0.382,0.251,0.109
2019,7,6,1,0.222,0.199,0.066
2019,7,6,3,0.105,0.167,0.034
2019,7,6,4,0.025,0.071,0.008
2019,7,6,6,0.015,0.032,0.005
2019,7,6,8,0.001,0.009,0
2019,7,6,9,0.036,0.015,0.012
2019,7,6,11,0.048,0.028,0.015
2019,7,6,13,0.084,0.076,0.026
2019,7,6,14,0.232,0.214,0.069
2019,7,6,16,0.315,0.275,0.094
2019,7,6,18,0.353,0.288,0.105
2019,7,6,19,0.446,0.321,0.129
2019,7,6,21,0.464,0.302,0.132
2019,7,6,23,0.313,0.173,0.09
2019,7,7,1,0.154,0.167,0.047
2019,7,7,2,0.103,0.163,0.032
2019,7,7,4,0.021,0.076,0.007
2019,7,7,6,0.013,0.04,0.004
2019,7,7,7,0.002,0.016,0.001
2019,7,7,9,0.036,0.022,0.013
2019,7,7,11,0.052,0.041,0.016
2019,7,7,12,0.091,0.069,0.027
2019,7,7,14,0.167,0.134,0.05
2019,7,7,16,0.27,0.196,0.085
2019,7,7,17,0.276,0.251,0.085
2019,7,7,19,0.324,0.262,0.097
2019,7,7,21,0.411,0.257,0.119
2019,7,7,23,0.304,0.16,0.087
2019,7,8,0,0.124,0.147,0.04
2019,7,8,2,0.089,0.136,0.028
2019,7,8,4,0.023,0.073,0.008
2019,7,8,5,0.017,0.031,0.005
2019,7,8,7,0.014,0.016,0.005
2019,7,8,9,0.033,0.027,0.011
2019,7,8,10,0.043,0.034,0.013
2019,7,8,12,0.073,0.051,0.022
2019,7,8,14,0.149,0.104,0.045
2019,7,8,15,0.203,0.17,0.064
2019,7,8,17,0.235,0.221,0.074
2019,7,8,19,0.227,0.215,0.07
2019,7,8,21,0.323,0.193,0.096
2019,7,8,22,0.297,0.155,0.084
2019,7,9,0,0.1,0.116,0.032
2019,7,9,2,0.076,0.108,0.025
2019,7,9,3,0.05,0.083,0.016
2019,7,9,5,0.028,0.035,0.009
2019,7,9,7,0.032,0.025,0.01
2019,7,9,8,0.032,0.022,0.01
2019,7,9,10,0.029,0.028,0.01
2019,7,9,12,0.072,0.046,0.025
2019,7,9,13,0.106,0.091,0.035
2019,7,9,15,0.208,0.166,0.067
2019,7,9,17,0.252,0.217,0.079
2019,7,9,19,0.184,0.173,0.057
2019,7,9,20,0.138,0.147,0.045
2019,7,9,22,0.29,0.131,0.082
2019,7,10,0,0.219,0.108,0.062
2019,7,10,1,0.066,0.087,0.021
2019,7,10,3,0.059,0.079,0.019
2019,7,10,5,0.038,0.042,0.012
2019,7,10,6,0.039,0.03,0.012
2019,7,10,8,0.052,0.033,0.017
2019,7,10,10,0.055,0.035,0.018
2019,7,10,11,0.073,0.048,0.025
2019,7,10,13,0.126,0.109,0.042
2019,7,10,15,0.189,0.162,0.061
2019,7,10,16,0.231,0.211,0.074
2019,7,10,18,0.011,0.004,0.004
2019,7,10,20,0.103,0.118,0.034
2019,7,10,22,0.197,0.096,0.055
2019,7,10,23,0.239,0.102,0.067
2019,7,11,1,0.126,0.08,0.037
2019,7,11,3,0.017,0.062,0.006
2019,7,11,4,0.011,0.037,0.004
2019,7,11,6,0.012,0.017,0.004
2019,7,11,8,0.032,0.024,0.011
2019,7,11,9,0.05,0.031,0.016
2019,7,11,11,0.093,0.063,0.032
2019,7,11,13,0.142,0.115,0.047
2019,7,11,14,0.179,0.149,0.057
2019,7,11,16,0.204,0.175,0.066
2019,7,11,18,0.138,0.126,0.043
2019,7,11,20,0.084,0.097,0.027
2019,7,11,21,0.129,0.061,0.037
2019,7,11,23,0.199,0.063,0.056
2019,7,12,1,0.14,0.072,0.04
2019,7,12,2,0.05,0.056,0.015
2019,7,12,4,0.002,0.022,0.001
2019,7,12,6,0.002,0.006,0.001
2019,7,12,7,0.02,0.01,0.007
2019,7,12,9,0.041,0.026,0.014
2019,7,12,11,0.076,0.072,0.026
2019,7,12,12,0.147,0.111,0.049
2019,7,12,14,0.161,0.122,0.053
2019,7,12,16,0.17,0.141,0.055
2019,7,12,18,0.134,0.108,0.042
2019,7,12,19,0.094,0.085,0.03
2019,7,12,21,0.119,0.046,0.036
2019,7,12,23,0.129,0.033,0.037
2019,7,13,0,0.097,0.05,0.029
2019,7,13,2,0.12,0.05,0.035
2019,7,13,4,0.008,0.022,0.003
